annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;37831736356;D724365373X;MARTINI;Ern;2000-05-23;M;FRANCAIS(E);56600;LANESTER;Personne sans activite professionnelle;Non renseigne (inconnu);S;B;2018;56;0561698S;LYCEE POLYVALENT JEAN MACE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;37831736356;D724365373X;MARTINI;Ern;2000-05-23;M;FRANCAIS(E);56600;LANESTER;Personne sans activite professionnelle;Non renseigne (inconnu);S;B;2018;56;0561698S;LYCEE POLYVALENT JEAN MACE;A;Bourse de l'enseignement supérieur
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;83288036334;U856511931C;ROBLIN;Sly;1999-04-16;M;FRANCAIS(E);35170;BRUZ;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2018;35;0350028R;BREQUIGNY STS;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;83288036334;U856511931C;ROBLIN;Sly;1999-04-16;M;FRANCAIS(E);35170;BRUZ;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2018;35;0350028R;BREQUIGNY STS;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;86203391792;H828155207S;BEAUFILS;Jeannot;2000-07-10;M;FRANCAIS(E);44230;SAINT-SEBASTIEN-SUR-LOIRE;Elève/Etudiant;Non renseigne (inconnu);S;AB;2018;44;0440062D;JEAN PERRIN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;86203391792;H828155207S;BEAUFILS;Jeannot;2000-07-10;M;FRANCAIS(E);44230;SAINT-SEBASTIEN-SUR-LOIRE;Elève/Etudiant;Non renseigne (inconnu);S;AB;2018;44;0440062D;JEAN PERRIN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25728166586;N126663481G;MURAT;Irvine;2000-11-26;M;FRANCAIS(E);35240;LE THEIL-DE-BRETAGNE;Elève/Etudiant;Technicien;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25728166586;N126663481G;MURAT;Irvine;2000-11-26;M;FRANCAIS(E);35240;LE THEIL-DE-BRETAGNE;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;71117967934;S762216698T;NICOL;Wilfrid;2000-09-06;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2018;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;71117967934;S762216698T;NICOL;Wilfrid;2000-09-06;M;FRANCAIS(E);35131;CHARTRES-DE-BRETAGNE;Personne sans activite professionnelle;Contremaitre-agent de maitrise;S;AB;2018;35;0352686E;LYCEE Gal ET TECHN. ANITA CONTI;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;77605128570;H498948462A;LEDRU;Cleve;2001-11-02;M;FRANCAIS(E);35360;MEDREAC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;77605128570;H498948462A;LEDRU;Cleve;2001-11-02;M;FRANCAIS(E);35360;MEDREAC;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;35;0350029S;JOLIOT-CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;51216060265;H716334695K;PORTIER;Kennith;2000-02-09;M;FRANCAIS(E);22630;LES CHAMPS-GERAUX;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220013V;FONTAINE DES EAUX;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;51216060265;H716334695K;PORTIER;Kennith;2000-02-09;M;FRANCAIS(E);22630;LES CHAMPS-GERAUX;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;22333454636;H897671107N;LEBRET;Jerome;2000-08-22;M;FRANCAIS(E);35132;VEZIN-LE-COQUET;Personne sans activite professionnelle;Employe administratif d'entreprise;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;22333454636;H897671107N;LEBRET;Jerome;2000-08-22;M;FRANCAIS(E);35132;VEZIN-LE-COQUET;Personne sans activite professionnelle;Employe administratif d'entreprise;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;99133428437;G938221747Y;PRUVOT;Marshal;2000-12-06;M;FRANCAIS(E);22560;TREBEURDEN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;B;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;99133428437;G938221747Y;PRUVOT;Marshal;2000-12-06;M;FRANCAIS(E);22560;TREBEURDEN;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;B;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;87730674868;A711638672M;BRIQUET;Kay;2000-09-08;F;FRANCAIS(E);35740;PACE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;35;0352009U;LYCEE VICTOR ET HELENE BASCH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;87730674868;A711638672M;BRIQUET;Kay;2000-09-08;F;FRANCAIS(E);35740;PACE;Personne sans activite professionnelle;Professeur, profession scientifique;S;AB;2018;35;0352009U;LYCEE VICTOR ET HELENE BASCH;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;65084993745;S987829086N;JARDIN;Benson;2000-06-25;M;FRANCAIS(E);22120;YFFINIAC;Elève/Etudiant;Contremaitre-agent de maitrise;S;AB;2018;22;0220057T;ERNEST RENAN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;65084993745;S987829086N;JARDIN;Benson;2000-06-25;M;FRANCAIS(E);22120;YFFINIAC;Elève/Etudiant;Contremaitre-agent de maitrise;S;AB;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;55784499165;V629817162L;MONNOT;Jarvis;2000-09-22;M;FRANCAIS(E);56700;HENNEBONT;Personne sans activite professionnelle;Technicien;S;P;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;55784499165;V629817162L;MONNOT;Jarvis;2000-09-22;M;FRANCAIS(E);56700;HENNEBONT;Personne sans activite professionnelle;Technicien;S;P;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;57050988362;H636074024K;JOSSE;Maverick;2000-06-15;M;FRANCAIS(E);35290;MUEL;Personne sans activite professionnelle;Artisan;S;AB;2018;35;0352235P;RENE CASSIN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;57050988362;H636074024K;JOSSE;Maverick;2000-06-15;M;FRANCAIS(E);35290;MUEL;Personne sans activite professionnelle;Artisan;S;AB;2018;35;0352235P;RENE CASSIN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;82766591305;T627875861W;BORDIER;Innocent;2000-05-15;M;FRANCAIS(E);22410;LANTIC;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse de l'enseignement supérieur
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;82766591305;T627875861W;BORDIER;Innocent;2000-05-15;M;FRANCAIS(E);22410;LANTIC;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;58276644284;O417816883D;LEGAY;Beatrix;2000-06-05;F;FRANCAIS(E);22300;PLOUMILLIAU;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;58276644284;O417816883D;LEGAY;Beatrix;2000-06-05;F;FRANCAIS(E);22300;PLOUMILLIAU;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;21412482737;R263072949U;FOURNET;Kenith;2000-03-05;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;21412482737;R263072949U;FOURNET;Kenith;2000-03-05;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;43482847611;D809148531O;GRANIER;Dominic;1999-09-16;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Employe de commerce;21;B;2018;22;0220083W;FELIX LE DANTEC;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;43482847611;D809148531O;GRANIER;Dominic;1999-09-16;M;FRANCAIS(E);22730;TREGASTEL;Personne sans activite professionnelle;Employe de commerce;21;B;2018;22;0220083W;FELIX LE DANTEC;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;69765619643;R498197511I;MOISAN;Burt;2000-03-08;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;P;2018;22;0220018A;AUGUSTE PAVIE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;69765619643;R498197511I;MOISAN;Burt;2000-03-08;M;FRANCAIS(E);22200;PLOUISY;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;P;2018;22;0220018A;AUGUSTE PAVIE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;83892567693;T831726457T;CHAIX;Forest;2000-03-19;M;FRANCAIS(E);35760;SAINT-GREGOIRE;Personne sans activite professionnelle;Non renseigne (inconnu);S;AB;2018;35;0350801F;PRIVE JEAN PAUL II;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;83892567693;T831726457T;CHAIX;Forest;2000-03-19;M;FRANCAIS(E);35760;SAINT-GREGOIRE;Elève/Etudiant;Profession interm sante et  trav. social;S;AB;2018;35;0350801F;PRIVE JEAN PAUL II;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;17756424195;T641757295I;GIRARDOT;Bryce;1995-02-25;M;FRANCAIS(E);66000;PERPIGNAN;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2012;66;0660011D;JEAN LURCAT;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;17756424195;T641757295I;GIRARDOT;Bryce;1995-02-25;M;FRANCAIS(E);66000;PERPIGNAN;Personne sans activite professionnelle;Profession interm adm de la fonction pub;S;B;2012;66;0660011D;JEAN LURCAT;H;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;63307674613;Z586061893Y;MAGNIER;Benton;1994-02-16;M;FRANCAIS(E);35190;TREVERIEN;Technicien;Retraité  cadre-profession intermediaire;S;AB;2012;35;;;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;63307674613;Z586061893Y;MAGNIER;Benton;1994-02-16;M;FRANCAIS(E);35190;TREVERIEN;Personne sans activite professionnelle;Retraité  cadre-profession intermediaire;S;AB;2012;35;;;E;Bourse enseignement supérieur définitive
2018-2019;T10602;DUT INFORMATIQUE 2 ANNEE;141;77387628584;H516782424W;DELMOTTE;Lon;1996-10-05;M;FRANCAIS(E);29440;SAINT-DERRIEN;Personne sans activite professionnelle;Ouvrier non qualifie;S;P;2015;29;0292047T;DU LEON;C;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;77387628584;H516782424W;DELMOTTE;Lon;1996-10-05;M;FRANCAIS(E);29440;SAINT-DERRIEN;Personne sans activite professionnelle;Ouvrier non qualifie;S;P;2015;29;0292047T;DU LEON;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;77387628584;H516782424W;DELMOTTE;Lon;1996-10-05;M;FRANCAIS(E);29440;SAINT-DERRIEN;Personne sans activite professionnelle;Ouvrier non qualifie;S;P;2015;29;0292047T;DU LEON;C;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;40587850116;Q987841639J;CAPRON;Delicia;1996-03-13;F;FRANCAIS(E);29370;ELLIANT;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2015;29;0290030A;PIERRE GUEGUIN;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;40587850116;Q987841639J;CAPRON;Delicia;1996-03-13;F;FRANCAIS(E);29370;ELLIANT;Personne sans activite professionnelle;Profession interm adm et commerc. entrep;S;P;2015;29;0290030A;PIERRE GUEGUIN;C;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;26163193653;Q916373333F;ZIMMER;Alden;1996-02-20;M;FRANCAIS(E);29420;PLOUVORN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2015;29;0290198H;PRIVE SAINT ESPRIT;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;26163193653;Q916373333F;ZIMMER;Alden;1996-02-20;M;FRANCAIS(E);29420;PLOUVORN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2015;29;0290198H;PRIVE SAINT ESPRIT;E;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;25055635469;J815757318B;LATOUR;Barnabé;1997-10-09;M;FRANCAIS(E);56870;BADEN;Personne sans activite professionnelle;Profession interm adm et commerc. entrep;S;P;2015;56;0560117Y;LYCEE PRIVE SAINT PAUL VANNES;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;25055635469;J815757318B;LATOUR;Barnabé;1997-10-09;M;FRANCAIS(E);56870;BADEN;Personne sans activite professionnelle;Profession interm adm et commerc. entrep;S;P;2015;56;0560117Y;LYCEE PRIVE SAINT PAUL VANNES;C;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;95783618253;F454712252N;CAPITAINE;Évariste;1997-10-28;M;FRANCAIS(E);29217;LE CONQUET;Personne sans activite professionnelle;Personne sans activite professionnelle;TI2D;AB;2015;29;0290012F;INDUSTRIEL VAUBAN;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;95783618253;F454712252N;CAPITAINE;Évariste;1997-10-28;M;FRANCAIS(E);29217;LE CONQUET;Personne sans activite professionnelle;Non renseigne (inconnu);TI2D;AB;2015;29;0290012F;INDUSTRIEL VAUBAN;E;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;75476768301;W576933358I;DUFRESNE;Bert;1997-05-29;M;FRANCAIS(E);35340;LIFFRE;Personne sans activite professionnelle;Employe de commerce;TI2D;AB;2015;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;75476768301;W576933358I;DUFRESNE;Bert;1997-05-29;M;FRANCAIS(E);35340;LIFFRE;Personne sans activite professionnelle;Employe de commerce;TI2D;AB;2015;35;0350029S;JOLIOT-CURIE;C;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;23043520781;K100333211U;CARETTE;Jarod;1997-10-11;M;FRANCAIS(E);29000;QUIMPER;Technicien;Profession interm adm et commerc. entrep;TI2D;B;2015;29;0290071V;YVES THEPOT;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;23043520781;K100333211U;CARETTE;Jarod;1997-10-11;M;FRANCAIS(E);29000;QUIMPER;Personne sans activite professionnelle;Profession interm adm et commerc. entrep;TI2D;B;2015;29;0290071V;YVES THEPOT;C;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;65886471128;C123472982C;SAGOT;Barnaby;1998-07-12;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;AB;2016;22;0220058U;CHAPTAL;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;65886471128;C123472982C;SAGOT;Barnaby;1998-07-12;M;FRANCAIS(E);22300;LANNION;Personne sans activite professionnelle;Employe civil-agent de service de la FP;S;AB;2016;22;0220058U;CHAPTAL;A;Bourse enseignement supérieur définitive
2018-2019;T10605;DUT INFORMATIQUE 2 ANNEE (Contrat pro.);141;83214247769;U316186114D;ROCHARD;Odell;1999-01-14;M;FRANCAIS(E);29170;SAINT-EVARZEC;Technicien;Cadre administratif et commercial d'entr;S;TB;2017;29;0290170C;PRIVE LE LIKES;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;83214247769;U316186114D;ROCHARD;Odell;1999-01-14;M;FRANCAIS(E);29170;SAINT-EVARZEC;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;TB;2017;29;0290170C;PRIVE LE LIKES;A;Bourse enseignement supérieur définitive
2017-2018;T10605;DUT INFORMATIQUE 2 ANNEE (Contrat pro.);141;86762142689;E631567051C;CHERON;Wystan;1997-08-14;M;FRANCAIS(E);44118;LA CHEVROLIERE;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2015;44;0440274J;NOTRE DAME;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;86762142689;E631567051C;CHERON;Wystan;1997-08-14;M;FRANCAIS(E);44118;LA CHEVROLIERE;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;P;2015;44;0440274J;NOTRE DAME;S;
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;62119538676;A359360802C;GUITTON;Zoé;1998-02-13;F;FRANCAIS(E);49300;CHOLET;Technicien;Retraité ancien  employé et ouvrier;S;AB;2016;49;0490054T;FERNAND RENAUDEAU;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;62119538676;A359360802C;GUITTON;Zoé;1998-02-13;F;FRANCAIS(E);49300;CHOLET;Personne sans activite professionnelle;Retraité ancien  employé et ouvrier;S;AB;2016;49;0490054T;FERNAND RENAUDEAU;A;
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;46735622425;A056141647I;BORDIER;Henry;1998-11-04;M;FRANCAIS(E);49290;CHAUDEFONDS-SUR-LAYON;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2016;49;0492123S;JEAN MOULIN;C;Bourse enseignement supérieur définitive
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;46735622425;A056141647I;BORDIER;Henry;1998-11-04;M;FRANCAIS(E);49290;CHAUDEFONDS-SUR-LAYON;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2016;49;0492123S;JEAN MOULIN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;26919816571;V872937761Q;LHUILLIER;Beauregard;1999-08-04;M;FRANCAIS(E);49300;CHOLET;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;P;2017;49;0490054T;FERNAND RENAUDEAU;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;26919816571;V872937761Q;LHUILLIER;Beauregard;1999-08-04;M;FRANCAIS(E);49300;CHOLET;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2017;49;0490054T;FERNAND RENAUDEAU;C;Bourse enseignement supérieur définitive
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;26919816571;V872937761Q;LHUILLIER;Beauregard;1999-08-04;M;FRANCAIS(E);49300;CHOLET;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2017;49;0490054T;FERNAND RENAUDEAU;A;Bourse enseignement supérieur définitive
2017-2018;T10602;DUT INFORMATIQUE 2 ANNEE;141;41801493789;Y865772601Y;PROUST;Jeannot;1995-10-28;M;FRANCAIS(E);51460;COURTISOLS;Personne sans activite professionnelle;Ouvrier qualifie;S;B;2013;51;0511147V;ST VINCENT DE PAUL;C;Bourse de l'enseignement supérieur
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;41801493789;Y865772601Y;PROUST;Jeannot;1995-10-28;M;FRANCAIS(E);51460;COURTISOLS;Personne sans activite professionnelle;Ouvrier qualifie;S;B;2013;51;0511147V;ST VINCENT DE PAUL;H;Bourse enseignement supérieur définitive
2017-2018;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;48705554612;J217530174O;LENOIR;Normand;1997-02-26;M;FRANCAIS(E);92700;COLOMBES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;TI2D;B;2015;75;0754025T;SAINT-NICOLAS;C;
2016-2017;T10601;DUT INFORMATIQUE 1 ANNEE;131;48705554612;J217530174O;LENOIR;Normand;1997-02-26;M;FRANCAIS(E);92700;COLOMBES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;TI2D;B;2015;75;0754025T;SAINT-NICOLAS;C;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;88137100381;S605918095E;LAFARGUE;Jay;2000-02-05;M;FRANCAIS(E);22190;PLERIN;Elève/Etudiant;Cadre de la fonction publique;S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;88137100381;S605918095E;LAFARGUE;Jay;2000-02-05;M;FRANCAIS(E);22190;PLERIN;Personne sans activite professionnelle;Cadre de la fonction publique;S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;69806859364;X778451849R;CRESPIN;Rhonda;2000-03-14;F;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350030T;PIERRE MENDES FRANCE;C;
